"","assemb.ID","Intercept","umol.L.sec","Temp.C"
"1","Run1_1_G6_A1_O2",220.492041818182,-0.0113015584415586,17.3233125
"2","Run1_10_G4_A2_O2",196.058262653846,-0.00390111538461539,17.3201612903226
"3","Run1_2_G1_A2_O2",209.66216791453,-0.00629475213675215,17.302375
"4","Run1_3_G9_A3_O2",168.00959,-0.00759000000000006,17.40878125
"5","Run1_4_G10_A4_O2",205.685749438971,-0.00353077449370554,17.29740625
"6","Run1_5_G3_A5_O2",201.125056076923,-0.00486223076923095,17.1605625
"7","Run1_6_G8_A6_O2",187.288704151404,-0.000831135531135527,17.30084375
"8","Run1_7_G3_A7_O2",199.435518054187,-0.00453726600985231,17.5368125
"9","Run1_8_Blank_1_O2",236.582893675889,-4.38735177863547e-05,17.2963548387097
"10","Run1_9_G7_A1_O2",198.165658455882,-0.0143202205882352,17.1880967741935
"11","Run2_1_G4_A3_O2",214.022613308823,-0.00814272058823504,17.2368518518519
"12","Run2_2_G2_A4_O2",214.427517052513,-0.00531321287408243,17.2293333333333
"13","Run2_3_G9_A5_O2",184.027150822511,-0.00473090909090919,17.2613703703704
"14","Run2_4_G5_A6_O2",220.737159538461,-0.00123646153846147,17.1276923076923
"15","Run2_5_G8_A7_O2",198.485537549407,-0.00511462450592883,17.1726538461538
"16","Run2_6_Blank_2_O2",187.473400827068,-0.000366240601503778,17.2550384615385
"17","Run2_7_G3_A1_O2",181.457696754386,-0.0108809649122806,17.3139615384615
"18","Run2_8_G10_A2_O2",226.019335,-0.00739500000000012,17.2274230769231
"19","Run2_9_G6_A3_O2",191.08383,-0.00822999999999981,17.1806153846154
"20","Run3_1_G4_A5_O2",221.544540522876,-0.004868008255934,17.1616666666667
"21","Run3_10_G7_A6_O2",206.060140542067,-0.000784810841332454,17.133
"22","Run3_2_G2_A6_O2",223.294924754902,-0.00161593137254888,17.136
"23","Run3_3_G6_A7_O2",182.906660441177,-0.00331779411764716,17.2009583333333
"24","Run3_4_Blank_3_O2",221.593891103896,-0.000436558441558737,17.2695
"25","Run3_5_G1_A1_O2",214.03618128655,-0.0151228070175441,17.2081666666667
"26","Run3_6_G8_A2_O2",184.142132213439,-0.0081322134387352,17.2395
"27","Run3_7_G3_A3_O2",183.955709191176,-0.00707683823529409,17.265125
"28","Run3_8_G5_A4_O2",222.601217058824,-0.0071494117647061,17.23
"29","Run3_9_G10_A5_O2",210.409421578947,-0.00722157894736827,17.0858333333333
"30","Run4_1_G9_A7_O2",219.420871231884,-0.00465456521739138,17.1558148148148
"31","Run4_10_Blank_4B_O2",205.836289,-0.000489000000000097,17.1782222222222
"32","Run4_2_Blank_4A_O2",223.95409892716,-0.00081434217955957,17.1288888888889
"33","Run4_3_G8_A1_O2",173.566560769231,-0.0131387912087912,17.1814074074074
"34","Run4_4_G9_A2_O2",218.638577055384,-0.00525025799793627,17.1265555555556
"35","Run4_5_G10_A3_O2",214.497156144928,-0.0105755652173913,17.0377777777778
"36","Run4_6_G7_A4_O2",178.379207017544,-0.00536491228070159,17.129962962963
"37","Run4_7_G2_A5_O2",193.420004517222,-0.00515527950310547,17.1727777777778
"38","Run4_8_G10_A6_O2",230.655007637681,-0.00128430434782632,17.2424444444444
"39","Run4_9_G2_A7_O2",213.346452384058,-0.00409745652173914,17.0638888888889
"40","Run5_1_G5_A1_O2",212.811028825522,-0.00685491247882544,17.1318666666667
"41","Run5_10_G6_A2_O2",197.661706969882,-0.0102083943833944,17.2080666666667
"42","Run5_2_G7_A2_O2",210.726196353629,-0.0105197110423118,17.1397666666667
"43","Run5_3_G1_A3_O2",186.219222867647,-0.00377286764705894,17.1892666666667
"44","Run5_4_G3_A4_O2",209.882569736842,-0.00540733082706763,17.0727666666667
"45","Run5_5_G8_A5_O2",208.300623270677,-0.00641274436090216,17.0202
"46","Run5_6_G9_A6_O2",182.22520553578,-0.00136897664071175,17.1162666666667
"47","Run5_7_G7_A7_O2",189.31315,-0.0047900000000001,17.1917
